1001882	2276028,c596950,2276031,2296849,2540974,2395676,2154246,c925950,c851950,2136325,c1156950,1880399,2276638,2097729,c599954,1840372,c382956,2595347,2296827,2275992,1471119,2326212,2100825,c925953,c852950,c684950,2306974,2194107,c1239952,770391,2395674,2286711,2077661,2600097,2599963,2496352,2326394,2288015,2274109,2092649,2081567,2026090
1009794	596445,c675950,241180,154812,1479612,2440792,1388046,2245583,1994331,1174540,793199,630546,257451,1176084,1067778,1009790,808862,2329972,2245607,1994322,1438600,494939,451130,2440659,1864045,1757977,1646621,1546490,1388442,1388044,1388042,809363,596553,596448,562324,2288391,2168176,2054957,2054868,1996821,17975,1676869,1652770,154814,1501693,1477119,1457513,1388738,1319008,1067782
1012736	c28578,578859,578858,578850,578846,1058208,1020274,578866,578864,1058235,674083,578855,578853,578847,1298669,1017107,578879,1012735,2045656,1790304,2419740,1790499,1790277,c1206950,2125822,1789641,1637000,c355952,c28675,766764,2589031,2571254,2455798,2446894,2084090,2064036,2060564,2045613,1997857,1526071,1299028,1298689,1298685,1244897
1016020	2342550,1527881,2342573,1527884,2342577,2342564,2342557,1527883,2383147,2342544,1527886,2007890,760374,2522789,2256505,2256480,1527887,2488504,2015294,1527904,1527888,2488517,2445483,2411939,1533983,1533571,1514576,1348236,1169776
1019306	547031,2470586,1286326,1238055,2139155,1923056,1112618,1884717,1884167,1352082,2324882,1352093,1117544,2255835,2204683,1987726,1019645,772623,748010,2429488,2231085,1884780,1846405,2324887,1533174,1238056,2473800,2473798,2387181,2387177,2300917,2255699,2139183,1839207,1502461,1238039,c414950,772627,760911,748165,546971,2644723,2571394,2529213,2496450,2416330,2231069,2227602,2205096,2191004,2139162,2038549,2038517,1845556,1671419,1352115,755476,747963,730858,327527,2683718,2683675,2683605,2617688,2606487,2553388,2530088,2522413,2522357,2510719,2496211,2470539,2441518,2387389,2387169,2273587,2253041,2131941,2131865,1843266,1837284,1455755,1455753,1352100,1352096,1352081,1280178,1238058,1221834,1179865,1148605,1102247,1019287
1024201	2142918,1789664,2396081,454917,1789657,2654970,2396070,1789635,2619567,2357602,2349709,2263907,2094092,2524399,2506691,1829823,1786411,1896987,644835,644831,2357622,2142735,2122778,1921303,1781877,1200913,2238542,2200803,2142811,807947,61454,2717275,2524405,2524401,2506227,2180936,1878441,1786355,1776460,1776408,1695762,1450994,1001032
1025011	1025059,1025097,1025094,1025106,1025018,1025039,1025025,1025055,2227875,551651,1025037,1025005,1025041,640716,1871874,1025088,640717,1706690,1692417,2575340,1050599,1025096,883561,1033668,1025063,988317,887582,637385,2700691,2575423,2575217,2290912,2188129,1859845,1706666,1221493,1039315,994311,887581,872997,1805346,1081833,1025085,901356,872996,849966,640719,2326166,1964317,1050640,1050639,1050364,1050346,1039313,1033615,1025105,c29302,887580,849994,849979,2604260,2465941,1820281,1121789,1121739,1095539,1068974,1050644,1050366,1050333,1050325,1050322,1034073,1025082,971690,849963,640720,640711,640709,637386,546683,2681300,2575439,2446116,2370428,2328069,2325326,2324492,2308910,2287274,2269281,2269096,1706692,1238794,1131759,1131754,1063036,1050600,1050598,1050596
1025462	780448,780449,2006266,1259453
1025499	1025503,1025502,1025498,1023475,1316881,1025550,1025504,1025500,1817156,1025566,1025514
1025543	1025542,1023503,c26588,1610440,1987953,1817216,1617859,1025503
