1053060	1053053
1194055	2960755,2658923,1864732
1276027	1484378
1317328	2721525
1428640	1420231,2632164,731806,1642458
1431538	3032807,3050365
148424	2287159
1494458	1494479
1591207	2008932
1605616	2949958,2743860,2728903
1653091	2632240,2086229,3004791,1721897,2997517,3028468,3028495,3004597,2954747,2844910,2085952,2582101,3004621,1544948,2993137,2954374,3108807,2844924,2469075,2395509,1653063,838589,838586,3039359,3039352,2699573,2384306,2309596,1653703,3063612,3024012,2858482,2856221,2844915,2242471,1845303,1157781
1674403	1010613
1681117	2840899,2357547,1853141
1724937	3063375
1734620	1735142,1735192,1735114,2672615,1735102,1735122,1734991,1734698,2698764,2796831,2698814,2698748,2372100,1734968
1774888	2868966,2496421,2464752,2463175,2463106,2462893,1774924,1768944
1840235	2457081
1842882	2697603
1850982	1850989,1601524,254109,169808
1864680	2150630,87233,1776134,1864721,1910728,1864732,1464065
2055605	2832203,2510076
2096727	2365720
2141988	2141985
2147216	2646605,2828468,2463395
2157512	2741970,2374113,2151559
2171435	2654004,2171459,2171477,2171433
2171516	2171499
2201468	2568165,2201493,2568103,1882274,2951515,2568159,1835057
2207147	2306972,2269858
2212042	808689
2237207	3066637,3063755
2238963	2562411,2081196,2610568,2554692,2137626
2269257	2875520
2271641	2951847,291646
2271678	2576756,2576750
2277519	2277521,1086132,2034532,2034403
2282090	2770243,619855
2287239	2581357,3198299,2581347,3092901
2317730	2938667
2342796	2656669,2948039,2288717
2354423	192435,2179959,1551677
2357547	2840899,2438646,1681117,1623084
235904	292127,422497,292137,2816759,292131,240423,2857389,1872451,2873094,2065751,235900,2074563,2074526,2074441,2065731,2053598,1945140,1872408,1808516,1675751
2363171	2540008,1699006
2365809	2360944
2366989	2366761,815873,2367198,1738282
2369625	2369647,2369616
2370047	2370062
2403086	2403208
2409954	3011726,3044745,2628924
2421644	2335916,2421638,1817444,1649294
2432093	3038105
2446034	2298860,1864721
2456330	2456275,2883676,2456250,2456305
2467716	2467562
2468940	2976084
2485987	2721322,1901647
2487732	3084690
2505849	3041012
2508080	2508068
2521517	2526202
2532623	2920961
2534199	2158447
2546691	2561702
2570496	2988971,2938086
2575284	3061625,3068212,3061796,2952952,3061725,2962107,2952246,2404959,1974562,2971310,2952258,2805967,2622677,2296544
2585210	2915076
2586390	2586422
2591727	2295835,3005798
2598054	2480008,2480020,2949545,2480003,1178342,2480015,2958267,2479996
2598711	2956182
2602850	2954315,2869002,2464702
2617520	2617535,2617549,2617556
2620670	2620651,2160559,2620714,2621177,2617233
2623505	2880108,2626368
2627321	2634019
2654088	3041019,3040999,3040990,3044469,3041006,2653239
2680827	3078850,3050700,3050994,3050894,3050328,3046026,3043125
2685615	2324616,1791338
2694282	2710285,3057521,3011370,2683218,2683036,3068958,3011442,2683783,2683501,2683276
2695830	2225166,1875696
2699151	2993019,2937993,2978609
2707548	2707551
2714063	731741,2311294,2271761,1742319,986540,2371692
2719626	3086328
2722082	2606079,3104382,3104380,2722037,2137565
2724107	2723981
2734692	2512105,2974436
2752917	3048736
2763528	1255191
2786217	3031888,3119511,3074945,2946091
2786668	3025740
2787027	1828210,1828209,2606077,2971253,2964441,2791800,2971363,2971278,1314573,2963419,2963363,260791,2444788,2266243,157476
2805107	2805115
2819337	2829185
2820092	2515170
2829471	2829185
2833098	2035732,1821627,2669279
2833142	2802969,2802926
2844366	3052141,2081873
2845914	2969056
2846643	2272852
2851205	2851328,2851220,2851187,2851182,2851211,2851173,2851318,2851197,3013986,2851201
